The Simon &amp; Garfunkel Story,Bingley Arts Centre,2024-09-18,7.30pm,£27.50,https://www.ticketsource.co.uk/bingleyartscentre/the-simon-and-garfunkel-story/2024-09-18/19:30/t-krmoygy,https://www.bingleyartscentre.co.uk/events/2024-09-18-the-simon-garfunkel-story,,"<p>Following sell-out performances in London’s West End, a Worldwide tour and standing ovations at every performance</p>",2024-09-10,2024-09-10,,,
Pink Floydian,Bingley Arts Centre,2024-09-20,7.30pm,£22,https://www.ticketsource.co.uk/bingleyartscentre/pink-floydian-present-an-evening-of-classic-pink-floyd/2024-09-20/19:30/t-moqmrpz,https://www.bingleyartscentre.co.uk/events/2024-09-20-pink-floydian,,<p>Pink Floydian are a 8-piece tribute to the greatest prog rock band of all time. They have been building up a reputation as one of the finest and most authentic Pink Floyd tributes in the UK. They have received praise for their incredibly accurate renditions and authentic stage show. The 2-and-a-half-hour show sees them covering [&hellip;]</p>,2024-09-10,2024-09-10,,,
Dire Streets,Bingley Arts Centre,2024-09-21,7.30pm,£28.50,https://www.ticketsource.co.uk/bingleyartscentre/dire-streets/2024-09-21/19:30/t-krmykkg,https://www.bingleyartscentre.co.uk/events/2024-09-21-dire-streets,,"<p>Dire Streets bring to life the classic songs of one of the world’s greatest guitar bands with a level of musicianship and attention to detail, making them the stand out Dire Straits tribute in the UK.The two-hour theatre show includes faithful renditions of classic studio tracks along with extended live versions from some of the [&hellip;]</p>",2024-09-10,2024-09-10,,,
SOLD OUT! Afternoon Tea with Kitty LaMare,Bingley Arts Centre,2024-09-25,1.30pm,£9,https://www.ticketsource.co.uk/bingleyartscentre/afternoon-tea-with-kitty-la-mare/2024-09-25/13:30/t-nozppnr,https://www.bingleyartscentre.co.uk/events/afternoon-tea-with-kitty-lamare,,"<p>SOLD OUT! We are thrilled that the fabulous Kitty LaMare has agreed to visit Bingley again. Why not join her for a lyrical trip down memory lane… Come along for a delicious afternoon tea, served with large dollops of good music and a plateful of friendship. Kitty’s vintage songbook provides a beautiful accompaniment to sandwiches [&hellip;]</p>",2024-09-10,2024-09-10,,,
The Haley Sisters,Bingley Arts Centre,2024-09-27,7.30pm,£17,https://www.ticketsource.co.uk/bingleyartscentre/haley-sisters-famous-for-their-harmonies/2024-09-27/19:30/t-pqgkoyd,https://www.bingleyartscentre.co.uk/events/2024-09-27-haley-sisters,,"<p>THE HALEY SISTERS Jo-Ann and Becky, were born and raised in the village of Harden, just outside of Bingley, West Yorkshire.From a very early age they followed in their parents’ footsteps, showing a strong interest in music from all genres.The Haley Sisters first appeared professionally back in 1989, when they launched themselves into a successful [&hellip;]</p>",2024-09-10,2024-09-10,,,
Not the Rolling Stones,Bingley Arts Centre,2024-10-04,7.30pm,£20.00,https://www.ticketsource.co.uk/bingleyartscentre/not-the-rolling-stones-tribute-band/2024-10-04/19:30/t-gamakrv,https://www.bingleyartscentre.co.uk/events/2024-10-04-not-the-rolling-stones,,"<p>After an electric gig last year, we are thrilled to welcome back NOT THE ROLLING STONES. If you were there in the audience last time, you&#8217;ll know how well these lads went down and what a rockin&#8217; evening was had by all. Covering all the decades, NTRS take you by the hand and dance you [&hellip;]</p>",2024-09-10,2024-09-10,,,
Go Your Own Way,Bingley Arts Centre,2024-10-11,19:30,"Ticket price
£13.00 in Advance
£15.50 on the door",https://www.ticketsource.co.uk/bingleyartscentre/go-your-own-way-standing-section/2024-10-11/19:30/t-lnrjkop,https://www.bingleyartscentre.co.uk/events/go-your-own-way,,"<p>Local heroes GO YOUR OWN WAY are one of the UK&#8217;s finest Fleetwood Mac tribute bands. They did a barnstorming gig last year and we got so much positive feedback, that we&#8217;ve invited them back. Come along and see them again for a top night of famous favourites and room to dance! THIS IS A [&hellip;]</p>",2024-09-10,2024-09-10,,,
10CCLO,Bingley Arts Centre,2024-10-12,7.30pm,"£20 in advance
£23 on door",https://www.ticketsource.co.uk/bingleyartscentre/10cclo-tribute-to-10cc-and-elo-greatest-hits/2024-10-12/19:30/t-gagxqvj,https://www.bingleyartscentre.co.uk/events/2024-10-12-10cclo,,"<p>Dreadlock Holiday, Mr Blue Sky, I’m Mandy Fly me, Livin’ Thing, Evil Woman, The Things We Do for Love, Wild West Hero, Life is a Minestrone, Art for Art’s Sake, Turn To Stone, I’m not in Love, Roll Over Beethoven, Rubber Bullets… Just a few among the many massive hits that make up the timeless [&hellip;]</p>",2024-09-10,2024-09-10,,,
Killer Rhapsody: A Night of Queen,Bingley Arts Centre,2024-11-01,7.30PM,£18 or 4 for £60,https://www.ticketsource.co.uk/bingleyartscentre/a-night-of-queen-killer-rhapsody-seating-only/2024-11-01/19:30/t-dvpqyqd,https://www.bingleyartscentre.co.uk/events/killer-rhapsody-a-night-of-queen,,<p>THIS TICKET ADMITS YOU TO THE SEATED AREA ONLY No-one can doubt the extraordinary contribution to the world’s music landscape that Queen have made. Tonight we give you all the top hits from Seven Seas of Rye to another One Bites the Dust to Killer Queen to Crazy Little Thing called Love….hit after hit will [&hellip;]</p>,2024-09-10,2024-09-10,,,
Killer Rhapsody: A Night of Queen,Bingley Arts Centre,2024-11-01,7.30pm,£18 or 4 for £60,https://www.ticketsource.co.uk/bingleyartscentre/a-night-of-queen-killer-rhapsody-standing-only/2024-11-01/19:30/t-xmrqpol,https://www.bingleyartscentre.co.uk/events/killer-rhapsody-a-night-of-queen-2,,<p>THIS TICKET ADMITS YOU TO THE STANDING AREA ONLY No-one can doubt the extraordinary contribution to the world’s music landscape that Queen have made. Tonight we give you all the top hits from Seven Seas of Rye to another One Bites the Dust to Killer Queen to Crazy Little Thing called Love….hit after hit will [&hellip;]</p>,2024-09-10,2024-09-10,,,
Killer Rhapsody: A Night of Queen,Bingley Arts Centre,2024-11-02,7.30pm,£18 OR 4 FOR £60,https://www.ticketsource.co.uk/bingleyartscentre/a-night-of-queen-killer-rhapsody/2024-11-02/19:30/t-pqkapea,https://www.bingleyartscentre.co.uk/events/killer-rhapsody-a-night-of-queen-3,,<p>THIS IS AN ALL-SEATED EVENT No-one can doubt the extraordinary contribution to the world’s music landscape that Queen have made. Tonight we give you all the top hits from Seven Seas of Rye to another One Bites the Dust to Killer Queen to Crazy Little Thing called Love….hit after hit will rock you to your [&hellip;]</p>,2024-09-10,2024-09-10,,,
Step into Christmas with Kitty LaMare,Bingley Arts Centre,2024-11-27,1.30pm,£10,https://www.ticketsource.co.uk/bingleyartscentre/afternoon-tea-with-kitty-la-mare/2024-11-27/13:30/t-avoxxxo,https://www.bingleyartscentre.co.uk/events/step-into-christmas-with-kitty-lamare,,"<p>Take your first steps into Christmas with a musical trip down memory lane with the incomparably festive Kitty LaMare! Why not join her for a lyrical trip down memory lane… Come along for a scrumptious afternooon, served with large dollops of good music and a plateful of friendship. Kitty’s festive songbook provides a beautiful accompaniment [&hellip;]</p>",2024-09-10,2024-09-10,,,
A Choral Christmas Cracker,Bingley Arts Centre,2024-12-08,4.30pm,£10 or £5 for age 10 and under,,https://www.bingleyartscentre.co.uk/events/a-choral-christmas-cracker,,"<p>Bradford and Airedale Youth Choir, Ilkley Youth Choir, and Ilkley Stage Singers are excited to present ‘A Choral Christmas Cracker’. This will be a fantastic concert featuring our 3 choirs and a brass quintet. Let us get you into the festive spirit with an evening of seasonal music. We are proud to be supporting ‘The [&hellip;]</p>",2024-09-10,2024-09-10,,,
We Three Kings of Rock N Roll!,Bingley Arts Centre,2024-12-19,7.30pm,£20,https://www.ticketsource.co.uk/bingleyartscentre/we-three-kings/2024-12-19/19:30/t-pqgvjya,https://www.bingleyartscentre.co.uk/events/2024-12-19-we-three-kings-of-rock-n-roll,,"<p>We are very happy to welcome back this two-hour, uplifting rock ‘n’ roll show. Three West End artists celebrate the music of three rock ‘n’ roll icons, all in true authentic rock ‘n’ roll Style: Roy Orbison, Buddy Holly, &amp; Elvis. Roy Orbison (Darren Page) will have you believing Roy is back. Darren has performed [&hellip;]</p>",2024-09-10,2024-09-10,,,
Swing into Christmas,Bingley Arts Centre,2024-12-20,7.30pm,£24,https://www.ticketsource.co.uk/bingleyartscentre/swing-into-christmas/2024-12-20/19:30/t-krmykjg,https://www.bingleyartscentre.co.uk/events/2024-12-20-northern-swing-orchestra-presents-swing-into-christmas,,"<p>This December, the holiday spirit takes centre stage at the Bingley Arts Centre with The Northern Swing Orchestra’s highly anticipated festive concert, &#8220;Swing into Christmas.&#8221; Join us for an unforgettable evening filled with the magic of Christmas. The 16-piece Big Band and singers have been working hard to put the finishing touches to this year’s [&hellip;]</p>",2024-09-10,2024-09-10,,,